douglas w. oard
james b. henderson
jill burstein
magdalena wolska
martin cmejrek
jiri havelka
jan curin
rens bod
michael gamon
simon h. corston-oliver
martine smets
eric k. ringger
hermann ney
nicola ueffing
miles osborne
stephen clark
steven baker
anoop sarkar
mark steedman
paul ruhlen
julia hockenmaier
jeremiah crim
rebecca hwa
alexander clark
seiichi yamamoto
fumiaki sugaya
toshiyuki takezawa
keiji yasuda
masuzo yanagida
alexiei dingli
fabio ciravegna
david guthrie
yorick wilks
gábor prószéky
jános csirik
karoly bibok
tibor gyimothy
zoltan alexin
lászló tihanyi
csaba hatvani
akihiko konagaya
judice koh
junko hosaka
zdeněk žabokrtský
otakar smrž
thierry poibeau
helmut horacek
emanuele pianta
luisa bentivogli
paul piwek
beate dorow
dominic widdows
somayajulu g. sripada
jim hunter
jin yu
ehud reiter
eric wehrli
violeta seretan
luka nerima
takeshi hamamoto
kohei hino
takeaki nakayama
takehito utsuro
takashi horiuchi
alexander koller
joachim niehren
stefan thater
judita preiss
jörg tiedemann
katrin erk
gerald penn
kenji imamura
yuji matsumoto
eiichiro sumita
claire gardent
laura kallmeyer
anssi yli-jyra
franz josef och
richard zens
christophe costa florencio
carsten brockmann
mirella lapata
robert c. moore
jason baldridge
geert-jan m. kruijff
sabine schulte im walde
lluís màrquez
lluís padró
xavier carreras
mohammad haji-abdolhosseini
eric joanis
suzanne stevenson
frederik fouvry
johan bos
tetsushi oka
ewan klein
birte lönneker-rodman
primo jakopin
valia kordoni
stefan schaden
adam kilgarriff
james mccracken
takashi ninomiya
jun'ichi tsujii
yusuke miyao
taro watanabe
andrew finch
mitsuo shimohata
yasuhiro akiba
takao doi
michael paul
derrick higgins
stephan vogel
olga van herwijnen
jacques terken
erwin marsi
antal van den bosch
wolfgang menzel
michael daum
kilian a. foth
dale schuurmans
vlado keselj
shaojun wang
fuchun peng
denys duchier
klaus macherey
oliver bender
david twomey
marc krellenstein
alec wysoker
fruzsina veress
michael mulligan
andrás kornai
stina ericsson
ivana kruijff-korbayova
kepa joseba rodriguez
elena karagjosova
vassilios petridis
athanasios kehagias
pavlina fragkou
karl-michael schneider
patrick saint-dizier
farah benamara
toshiaki fujiki
manabu okumura
hidetsugu nanba
serge a. yablonsky
constantin orăsan
doina tatar
gabriela serban
dana avram
adrian onet
katerina pastra
horacio saggion
ruslan mitkov
laura hasler
john a. barnden
mark lee
alan m. wallington
sheila r. glasbey
detmar meurers
markus dickinson
jean carletta
nicola cathcart
hui yang
tat-seng chua
james r. curran
mark g. core
claus zinn
johanna d. moore
alex lascarides
stephan kepser
beth ann hockey
gregory aist
alexander gruenstein
john dowding
oliver lemon
james hieronymus
ellen campana
laura hiatt
philipp koehn
kevin knight
irena spasić
goran nenadić
sophia ananiadou
kostas manios
manny rayner
paola merlo
hannah kermes
stefan evert
benjamin k. t'sou
oi yee kwong
steffen staab
viktor pekar
laura monceaux
isabelle robba
gabriel illouz
patrick paroubek
michele jardino
anne vilnat
veronique gendner
lars ahrenberg
magnus merkel
michael petterstedt
michael schiehlen
john nerbonne
susana early
dan bohus
b. boven
steven phan
genevieve gorrell
nate blaylock
ola akerberg
pierre nugues
hans svensson
bastian schulz
caroline brun
eric fanchon
marc dymetman
stanislas lhomme
richard power
roger evans
karin harbusch
michael kuhn
rob koeling
david tugwell
dirk kraus
diana maynard
kalina bontcheva
hamish cunningham
josé relaño gil
m. carmen rodriguez-gancedo
luis a. hernández gomez
paul buitelaar
bogdan sacaleanu
martin volk
jan kuper
peter wittenburg
thierry declerck
alexander simov
hristo ganev
krasimira ivanova
kiril simov
ilko grigorov
milen kouylekov
graham wilcock
zhiping zheng
piroska lendvai
maria fuentes fort
laura alonso alemany
gemma boleda
milena yankova
svetla boytcheva
raquel fernández
aurélien max
mark mcconville
razvan c. bunescu
marius paşca
hristo tanev
bernardo magnini
raghavendra udupa
hemanta k. maji
evgeny matusov
mei yang
katrin kirchhoff
christof e. müller
rebecca jonson
vera demberg
joakim nivre
fernando pereira
ryan mcdonald
kemal oflazer
gülşen eryiğit
francine r. chen
ayman farahat
alessandro moschitti
saif mohammad
graeme hirst
roberto navigli
stefan bordag
dekang lin
colin cherry
radu ion
dan ştefănescu
dan tufiš
alexandru ceauşu
stuart m. shieber
rani nelken
natasa jovanovic
anton nijholt
rieks op den akker
kotaro funakoshi
takenobu tokunaga
kerstin fischer
john a. bateman
fabrizio sebastiani
andrea esuli
hiroya takamura
takashi inui
alina andreevskaia
sabine bergler
massimiliano ciaramita
marco baroni
xavier robitaille
yasuhiro sasaki
masatsugu tonoike
satoshi sato
vinci liu
gregor leusch
chris callison-burch
david doermann
amy weinberg
burcu karagol-ayan
steve renals
pei-yun hsueh
marie guegan
nicolas hernandez
diane j. litman
joel r. tetreault
giuseppe carenini
adam pauls
raymond t. ng
anja belz
albert gatt
julia birke
afsaneh fazly
frank keller
ulrike pado
matthew w. crocker
jon oberlander
mary ellen foster
michael johnston
srinivas bangalore
nizar habash
safiullah shareef
david chiang
mona diab
owen rambow
richard johansson
anders berglund
christopher pinchak
lorenza romano
alberto lavelli
claudio giuliano
idan szpektor
ido dagan
mauro cettolo
roldano cattoni
nicola bertoldi
marcello federico
boxing chen
antoine widlocher
frederik bilhaut
xingkun liu
joseph le roux
yannick parmentier
benoît crabbé
ted pedersen
anagha kulkarni
gerard kempen
kallirroi georgila
matthew stuttle
honggang zhu
alexander schutz
greg gul-rajani
nicolas weber
matthias mantel
melanie siegel
thomas eigner
gunter ladwig
philipp cimiano
luis fernando costa
marc b. vilain
justin palmer
janet hitzeman
lisa ferro
john gibson
suzi lubar
conrad chang
sean munson
benjamin wellner
paul rayson
olga mudraya
scott s. l. piao
serge sharoff
bogdan babych
simone paolo ponzetto
michael strube
alfio massimiliano gliozzo
gina-anne levow
irina matveeva
reinhard rapp
wen-juan hou
chih lee
hsin-hsi chen
ross turner
ian p. davy
dana dannells
delphine bernhard
mohsen arabsorkhi
mehrnoush shamsfard
antónio h. branco
joão silva
willem zuidema
manfred klenner
patrizia paggio
davy weissenbacher
silvia quarteroni
suresh manandhar
robert j. hendley
li zhang
gilad mishne
maarten de rijke
krisztian balog
darren gergle
arjun karande
anna kazantseva
zornitsa kozareva
suzan verberne
ling yin
yo sato
lilja øvrelid
yves peirsman
ann copestake
franciska de jong
sadaf abdul-rauf
holger schwenk
apoorv agarwal
kathleen r. mckeown
fadi biadsy
eneko agirre
aitor soroa
oier lópez de lacalle
julien ah-pine
guillaume jacquet
g. elisabeta marai
joshua albrecht
krasimir angelov
marianna apidianaki
james r. glass
ibrahim badr
rabih zbib
amanda j. stent
samuel brody
martin forst
aoife cahill
sandipan dandapat
cohan sujay carlos
monojit choudhury
bruno cartoni
jieun chae
ani nenkova
eugene charniak
micha elsner
mathias creutz
anna kovaleva
sami virpioja
sadao kurohashi
fabien cromierès
dmitry davidov
ari rappoport
matthew stone
david devault
giuseppe riccardi
marco dinarelli
rui wang
georgiana dinu
hagen fürstenau
lijun feng
noémie elhadad
matt huenerfauth
junlan feng
mihai surdeanu
katja filippova
hugo zaragoza
frederick jelinek
keith hall
erin fitzgerald
ji fang
c. mario christoudias
trevor darrell
matthew frampton
patrick ehlen
stanley peters
hinrich schütze
alexander fraser
renjing wang
carlos gómez-rodríguez
david weir
john carroll
david yarowsky
nikesh garera
michael gasser
kevin gimpel
